---------------------------------------
| Instructor |   Ratio   | Percentage |
---------------------------------------
| I12        | 265 / 296 | 89.527027% |
| I18        | 486 / 548 | 88.686131% |
| I23        | 151 / 161 | 93.788820% |
| I01        | 236 / 265 | 89.056604% |
| I28        | 445 / 575 | 77.391304% |
| I21        | 288 / 353 | 81.586402% |
| I16        | 245 / 311 | 78.778135% |
| I20        | 210 / 240 | 87.500000% |
| I08        | 285 / 353 | 80.736544% |
| I02        | 111 / 150 | 74.000000% |
| I26        | 27 / 30   | 90.000000% |
| I04        | 72 / 88   | 81.818182% |
| I22        | 84 / 88   | 95.454545% |
| I14        | 211 / 230 | 91.739130% |
| I25        | 27 / 30   | 90.000000% |
| I10        | 130 / 139 | 93.525180% |
| I24        | 32 / 35   | 91.428571% |
| I11        | 50 / 61   | 81.967213% |
| I06        | 65 / 69   | 94.202899% |
| I27        | 167 / 178 | 93.820225% |
| I07        | 373 / 377 | 98.938992% |
| I15        | 164 / 171 | 95.906433% |
| I19        | 311 / 334 | 93.113772% |
| I17        | 53 / 67   | 79.104478% |
| I03        | 39 / 40   | 97.500000% |
---------------------------------------
