---------------------------------------
| Instructor |   Ratio   | Percentage |
---------------------------------------
| I12        | 78 / 293  | 26.621160% |
| I18        | 113 / 538 | 21.003717% |
| I23        | 24 / 137  | 17.518248% |
| I01        | 71 / 262  | 27.099237% |
| I28        | 203 / 575 | 35.304348% |
| I21        | 95 / 348  | 27.298851% |
| I16        | 79 / 308  | 25.649351% |
| I20        | 49 / 238  | 20.588235% |
| I08        | 110 / 352 | 31.250000% |
| I02        | 26 / 145  | 17.931034% |
| I26        | 7 / 28    | 25.000000% |
| I04        | 25 / 88   | 28.409091% |
| I22        | 15 / 85   | 17.647059% |
| I14        | 19 / 224  | 8.482143%  |
| I25        | 6 / 14    | 42.857143% |
| I10        | 8 / 119   | 6.722689%  |
| I24        | 3 / 7     | 42.857143% |
| I11        | 12 / 61   | 19.672131% |
| I06        | 8 / 69    | 11.594203% |
| I27        | 14 / 176  | 7.954545%  |
| I07        | 23 / 349  | 6.590258%  |
| I15        | 19 / 163  | 11.656442% |
| I19        | 20 / 331  | 6.042296%  |
| I17        | 5 / 49    | 10.204082% |
| I03        | 1 / 20    | 5.000000%  |
---------------------------------------
